invoice_id,invoice_number,invoice_date,issuer_name,recipient_name,line_items_count,accounting_summary_count,vat_rows_count,total_net,total_vat,total_gross,currency,created_at,updated_at,issuer_siren,issuer_ape,issuer_ape_source,recipient_siren,recipient_ape,recipient_ape_source
fr_bd_519665103:c649ae3e-3d8b-4202-b494-2067be5a92a1,328869,29/01/2024,POMMIER TREPIN COUSIN,INCONNU,3,2,2,86.44,4.79,91.48,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:5f9f53c2-30b9-40e8-838a-eb6624c5a397,329030,30/01/2024,POMMIER TREPIN COUSIN,INCONNU,5,2,2,170.66,9.51,180.76,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:d454af13-5b45-4733-86d1-74866f9fa19c,FV2401-12859,30/01/2024,AVIGROS,MOUAD,8,1,1,696.97,38.33,735.3,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:029542bb-4de8-4250-ae49-4f69d3f02f0a,329144,31/01/2024,POMMIER TREPIN COUSIN,MOUAD,3,1,2,71.45,3.98,75.7,EUR,,,562048314,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:1d22fe58-d038-4d90-bdf8-81c12bec0bda,FV2401-13544,31/01/2024,AVIGROS,MOUAD,13,2,1,872.13,48.98,921.11,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:5a7a7e5d-c0b5-4586-84ae-5f303ee7261c,1835604,31/01/2024,BBV,MOUAD,4,1,1,1038.56,57.22,1095.78,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:62ee3887-462d-4e21-bf5e-06558e736dc3,1835603,31/01/2024,BBV,MOUAD,2,1,1,1861.542,102.37,1963.912,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:65be3faf-ca0a-462b-adfd-096d485e4d9d,FA22CL-19458,31/01/2024,COUTELLERIE HALLES DE RUNGIS,BOUCHERIE ROYAL VIANDE,2,2,2,138.07,14.37,152.44,EUR,,,489928044,,,,,
fr_bd_519665103:7faa4d44-02a3-4928-8b3a-396a32132759,1835602,31/01/2024,BBV,MOUAD,6,1,1,960.15,52.81,1012.96,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:8c33bcc6-65c0-49b9-adca-69b6152c4173,FA4480,31/01/2024,AYAD HALDISTRIB,ROYALE VIANDEKB,2,2,1,574.0,31.57,605.57,EUR,,,828535542,4639B,invoice_form,,,
fr_bd_519665103:a71ba434-c736-4ec5-a673-9679c5203d48,1835603,31/01/2024,BBV,MOUAD,2,1,1,1861.542,102.37,1963.912,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:c1a868b6-9cc0-4abd-bd5c-0f964c5288e6,1835604,31/01/2024,BBV,MOUAD,4,1,1,1038.56,57.22,1101.47,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
