source_file,output_file,action,bucket,article_source_before,article_source_after,account_before,account_after,details,target_file
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de transaction - 2nd génération,Frais de transaction - 2nd génération,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Frais d'abonnement,Frais d'abonnement,6227,6227,"['frais', 'd', 'abonnement'] -> ['frais', 'abonnement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais d'abonnement,Frais d'abonnement,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Contribution au Service Public de l'Electricité (CSPE),Contribution au Service Public de l'Electricité (CSPE),6061,6061,"['contribution', 'service', 'public', 'l', 'electricite', 'cspe'] -> ['contribution', 'service', 'public', 'electricite', 'cspe']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Contribution au Service Public de l'Electricité (CSPE),Contribution au Service Public de l'Electricité (CSPE),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Acrobat Pro,Acrobat Pro,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,AGIOS - AGIOS,AGIOS - AGIOS,6278,6278,"['agios', 'agios'] -> ['agios']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,AGIOS - AGIOS,AGIOS - AGIOS,6278,6278,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Aide énergie,Aide énergie,6068,6068,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Contribution Tarifaire d'Acheminement électricité (CTA),Contribution Tarifaire d'Acheminement électricité (CTA),6061,6061,"['contribution', 'tarifaire', 'd', 'acheminement', 'electricite', 'cta'] -> ['contribution', 'tarifaire', 'acheminement', 'electricite', 'cta']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Contribution Tarifaire d'Acheminement électricité (CTA),Contribution Tarifaire d'Acheminement électricité (CTA),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de service Airbnb,Frais de service Airbnb,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Commission Deliveroo - Livraison,Commission Deliveroo - Livraison,6228,6228,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_article_canonique,items,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,6068,6068,nettoyage fin de chantier -> nettoyage en cours et en fin de chantier nettoyage fin de chantier et mise en decharge de dechets du chantier,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,6068,6068,"['nettoyage', 'fin', 'chantier'] -> ['nettoyage', 'cours', 'fin', 'chantier', 'mise', 'decharge', 'dechets']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,6068,6068,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de service,Frais de service,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Communications vers l'international,Communications vers l'international,6062,6062,"['communications', 'vers', 'l', 'international'] -> ['communications', 'vers', 'international']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Communications vers l'international,Communications vers l'international,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Forfait Client B&You 230Go,Forfait Client B&You 230Go,6062,6062,"['forfait', 'client', 'b', 'you', '230go'] -> ['forfait', 'client', 'you', '230go']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Forfait Client B&You 230Go,Forfait Client B&You 230Go,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Forfait Spécial client 350Go 5G Av. smartphone,Forfait Spécial client 350Go 5G Av. smartphone,6061,6061,"['forfait', 'special', 'client', '350go', '5g', 'av'] -> ['forfait', 'special', 'client', '350go', '5g', 'av', 'smartphone']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Forfait Spécial client 350Go 5G Av. smartphone,Forfait Spécial client 350Go 5G Av. smartphone,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Solutions Sécurité Smartphone avec Norton,Solutions Sécurité Smartphone avec Norton,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Avantage Internet 60Go,Avantage Internet 60Go,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Forfait Sensation 150Go 5G Avantages Smartphone,Forfait Sensation 150Go 5G Avantages Smartphone,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Option multi-SIM Internet,Option multi-SIM Internet,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Avantage Internet 80Go,Avantage Internet 80Go,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/07 au 01/08),Bbox - location équipement (du 02/07 au 01/08),6062,6062,"['bbox', 'location', 'equipement', '02', '07', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/07 au 01/08),Bbox - location équipement (du 02/07 au 01/08),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/09 au 01/10),Bbox - location équipement (du 02/09 au 01/10),6062,6062,"['bbox', 'location', 'equipement', '02', '09', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/09 au 01/10),Bbox - location équipement (du 02/09 au 01/10),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Pack sécurité Norton,Pack sécurité Norton,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Multi-TV FTTH (du 02/07 au 01/08),Multi-TV FTTH (du 02/07 au 01/08),6062,6062,"['multi', 'tv', 'ftth', '02', '07', '01'] -> ['multi', 'tv', 'ftth']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Multi-TV FTTH (du 02/07 au 01/08),Multi-TV FTTH (du 02/07 au 01/08),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Multi-TV FTTH (du 02/09 au 01/10),Multi-TV FTTH (du 02/09 au 01/10),6062,6062,"['multi', 'tv', 'ftth', '02', '09', '01'] -> ['multi', 'tv', 'ftth']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Multi-TV FTTH (du 02/09 au 01/10),Multi-TV FTTH (du 02/09 au 01/10),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Option Week-end internet illimité,Option Week-end internet illimité,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,"Vos abonnements, forfaits et options","Vos abonnements, forfaits et options",6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/05 au 01/06),Bbox - location équipement (du 02/05 au 01/06),6062,6062,"['bbox', 'location', 'equipement', '02', '05', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/05 au 01/06),Bbox - location équipement (du 02/05 au 01/06),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/12 au 01/01),Bbox - location équipement (du 02/12 au 01/01),6061,6061,"['bbox', 'location', 'equipement', '02', '12', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/12 au 01/01),Bbox - location équipement (du 02/12 au 01/01),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Vos communications (du 02/12 au 01/01),Vos communications (du 02/12 au 01/01),6061,6061,"['vos', 'communications', '02', '12', '01', '01'] -> ['vos', 'communications']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Vos communications (du 02/12 au 01/01),Vos communications (du 02/12 au 01/01),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Appels a tarification majorée (Numéros spéciaux),Appels a tarification majorée (Numéros spéciaux),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Appels tarification majorée - Numéros spéciaux,Appels tarification majorée - Numéros spéciaux,6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Applications - contenus - services,Applications - contenus - services,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Avantage Internet 100Go,Avantage Internet 100Go,6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/02 au 01/03),Bbox - location équipement (du 02/02 au 01/03),6061,6061,"['bbox', 'location', 'equipement', '02', '02', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/02 au 01/03),Bbox - location équipement (du 02/02 au 01/03),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/10 au 01/11),Bbox - location équipement (du 02/10 au 01/11),6061,6061,"['bbox', 'location', 'equipement', '02', '10', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/10 au 01/11),Bbox - location équipement (du 02/10 au 01/11),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox - location équipement (du 02/11 au 01/12),Bbox - location équipement (du 02/11 au 01/12),6062,6062,"['bbox', 'location', 'equipement', '02', '11', '01'] -> ['bbox', 'location', 'equipement']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox - location équipement (du 02/11 au 01/12),Bbox - location équipement (du 02/11 au 01/12),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),6062,6062,"['bbox', 'fibre', 'jusqu', 'a1', 'gb', 's'] -> ['bbox', 'fibre', 'jusqu', 'a1']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),6062,6062,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox fibre jusqu'a1 Gb/s (du 02/07 au 01/08),Bbox fibre jusqu'a1 Gb/s (du 02/07 au 01/08),6061,6061,"['bbox', 'fibre', 'jusqu', 'a1', 'gb', 's'] -> ['bbox', 'fibre', 'jusqu', 'a1']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox fibre jusqu'a1 Gb/s (du 02/07 au 01/08),Bbox fibre jusqu'a1 Gb/s (du 02/07 au 01/08),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),6061,6061,"['bbox', 'fibre', 'jusqu', 'a1', 'gb', 's'] -> ['bbox', 'fibre', 'jusqu', 'a1']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),6061,6061,classification_version,
