item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0175,2,igname ghana 20kg,IGNAME GHANA 20kg,6011,5.5,4617A,,,,,,,
mrn_0176,2,manioc kg costa rica,MANIOC 18 KG COSTA RICA,6011,5.5,4631Z,,,,,,,
mrn_0177,2,farine de mil 12x1kg mali,FARINE DE MIL 12X1KG MALI,6011,5.5,4631Z,,,,,,,
mrn_0178,2,arome liquide maggi 6x960ml pologne,AROME LIQUIDE MAGGI 6X960ML POLOGNE,6011,5.5,4631Z,,,,,,,
mrn_0179,2,pate d arachide exo 5kg france,PATE D'ARACHIDE EXO 2.5KG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0180,2,concentre tomate petit rolli 12x440gr france,CONCENTRE TOMATE PETIT ROLLI 12X440GR FRANCE,601,5.5,4631Z,,,,,,,
mrn_0181,2,petit cola cote d ivoire,PETIT COLA COTE D IVOIRE,601,5.5,4631Z,,,,,,,
mrn_0182,2,manioc tucano tucano costa rica,MANIOC TUCANO TUCANO COSTA RICA,601,5.5,4631Z,,,,,,,
mrn_0183,2,ail 25x200gr chine,AIL 25X200GR CHINE,601,5.5,4631Z,,,,,,,
mrn_0184,2,mangue bateau kent 4kg perou,MANGUE BATEAU KENT 4KG PEROU,601,5.5,4631Z,,,,,,,
mrn_0185,2,riz 20kg perleasie cambodge,RIZ 20KG PERLEASIE CAMBODGE,601,5.5,4631Z,,,,,,,
mrn_0186,2,patate douce rouge 10kg honduras,PATATE DOUCE ROUGE 10KG HONDURAS,6011,5.5,4631Z,,,,,,,
mrn_0187,2,poivron rouge 5kg belgique,POIVRON ROUGE 5KG BELGIQUE,6011,5.5,4631Z,,,,,,,
mrn_0188,2,oignon rouge 5kg egypte,OIGNON ROUGE 5KG EGYPTE,6011,5.5,4631Z,,,,,,,
mrn_0189,2,oignons,Oignons,601,5.5,4941B,,,,,,,
mrn_0190,2,feuille de manioc saka saka congele,FEUILLE DE MANIOC SAKA SAKA CONGELE (TAI YAT) 20X500GR CAMEROUN,6011,5.5,4631Z,,,,,,,
mrn_0191,2,gingembre kg perou,GINGEMBRE 13.6 KG PEROU,6061,5.5,4631Z,,,,,,,
mrn_0192,2,chou blanc 10kg france,CHOU BLANC 10KG FRANCE,6061,5.5,4631Z,,,,,,,
mrn_0193,2,patate douce orange 6kg honduras,PATATE DOUCE ORANGE 6KG HONDURAS,601,5.5,4631Z,,,,,,,
mrn_0194,2,ail 25x200gr chine,AIL 25X200GR CHINE,6011,5.5,4631Z,,,,,,,
mrn_0195,2,chips plantain mixte n 20x85gr france,CHIPS PLANTAIN MIXTE N°1 20X85GR FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0196,2,vivaneau blanc colas file rose e,"VIVANEAU BLANC 1 COLAS FILE ""rose"" E/V 3-5kg vrac",60120000,5.5,4639A,,,,,,,
mrn_0197,2,cuisse de poulet 10kg gi belgique,CUISSE DE POULET 10KG (GI) BELGIQUE,6011,5.5,4631Z,,,,,,,
mrn_0198,2,lait concentre bonnet rouge petit x,LAIT CONCENTRE BONNET ROUGE PETIT 24 X 170 GR PAYS-BAS,6011,5.5,4631Z,,,,,,,
mrn_0199,2,laurier 20x20gr spig france,LAURIER 20X20GR SPIG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0200,2,chinchard entier 10kg congeler prodi chili,CHINCHARD ENTIER 10KG CONGELER (PRODI) CHILI,6011,5.5,4631Z,,,,,,,
