file,metier,article,action,old_account,new_account,reason
base_produits_restaurant_clean_v2.json,restaurant,SAUMON FUME 1000G SURGELE,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SEVEN UP MOJITO 24* 33CL,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,100 POT SAUCE 6CL,clean_or_account_fix,6063,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 BTE SALADE KRAFT 130OML,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,AIL PELE MC 1KG CHINE,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CREME FRAI EP 6% 5L PIZZ FLORY,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,EVIAN 1L VC,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FANTA ORANGE EU 33cl x 24,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,LESIEUR MAYO HAUTE FERMETE 5L,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC MAYO HTE FERMETE 4.7KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SELECTO SODA 1.5L PET,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TROPICO FR EXOTIQUE 33CL x 24,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GIGOT AGN S/OS S/V NZ HAL,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CAIS.SANPELLEGR 12X100CL VIDE,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CASABLANCA 5D 33CL,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,HP10 BLANC ECO RECYCLABLE 100PCS,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO ESSUIE-MAIN PL.Z 200F X15,clean_or_account_fix,6063,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,Navet x 5 Kg Net Cat 1 France,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,POMME DE TERRE AGHATA 5 KG,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,POULET OUVERT 1KG HALLAL - 5 CX,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPE AGRUME 25CL VC,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPES AGRUM SLIM 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GIGOT AGN A/OS HAL PAC S/V NZ,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPES AGRUM24X25CL PLEIN,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 COUV BOL A SOUPE KRAFT PM,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BOITE RETANCLE+COUV 500G 50P,clean_or_account_fix,6062,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA COLA REG PET 1.25L,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA COLAS 25CL VP,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CRISTAL SAC 20KG ARO,clean_or_account_fix,6011,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,Carotte Grosse x 10 Kg net Cat 1 France,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,EMMENTAL FR RAPE 1KG MC,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FILET DE POULET AVS AU KG,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC MAY0 HTE FERMETE 4.7KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,"MOZZA/EMMENT RAPE SACH 2,5KGMC",clean_or_account_fix,6011,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OASIS FRAISE FRAMBOISE 33cl*24,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SAN PELL 1L VC,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TRANCHES D'AVOCAT 500G,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GIGOT AGN S/OS HALAL S/V NZ,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,9854. EVIAN-BAD. 20X50STUB. PLEIN,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,ARO TOMATE ENTIERE PELEE 1/2,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 BTE SALADE KRAFT 1000ML,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,AILES DE POULET HALAL CEE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BADOIT 1L VC,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GRANINI ABRICOT 25CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC HUILE FRITURE 25L,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO 50 COU RPET BOL SAL PM,clean_or_account_fix,6063,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO DECAP FOUR 5L,clean_or_account_fix,6063,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,NAVET ROND GROS 5KG FR FRANCE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OIG CHARC MC 7/10 8KG C1 FR 66FRANCE,clean_or_account_fix,6012,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PERSIL FLOCONS SAC 500G,clean_or_account_fix,601,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PILON,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PREPA TIRAMISU 1L MC,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SAUCE,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SAUCISSE,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,0IG CHARC MC 7/10 8KG C1 FR 66FRANCE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BOITE A PIZZA 40CM MARRON 50PCS,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CAIS.SANPELLEGR 12X100CL PLEIN,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CANETTE,clean_or_account_fix,6061,601,keywords/account normalized
