article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
Tout Creative Cloud 100 Go,tout creative cloud 100 go,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
Vos autres services et produits,vos autres services et produits,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_828612630 | fr_bd_831060876 | fr_bd_839181104 | fr_bd_842785719 | fr_bd_952061570
"RUMSTEACK - CARCASSE BEUF - Label : Né en : BELGIQUE ; Elevé en : BELGIQUE ; Code abattoir : 59 ; Abattu en : BELGIQUE ; Atelier découpe : 94-065-243 ; Découpé en : FRANCE ; Catégorie : VACHE ; Type : VIANDE ; Race : BLANC BLEU BELGE ; Assujetti aux taxes : AGIOS, GARDE, IBGUF, RSD",rumsteack carcasse beuf label ne en belgique eleve en belgique code abattoir 59 abattu en belgique atelier decoupe 94 065 243 decoupe en france categorie vache type viande race blanc bleu belge assujetti aux taxes agios garde ibguf rsd,6,14,6011,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Renonciation à recours 10%,renonciation a recours 10,6,12,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_842785719
ECO CONTRIBUTION VALOBAT 0902001 FILS ET CABLES ENERGIE,eco contribution valobat 0902001 fils et cables energie,6,10,6063,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
Remise Commerciale,remise commerciale,6,10,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_831060876
Frais de transaction,frais de transaction,6,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
Composante de soutirage Heures Creuses Eté,composante de soutirage heures creuses ete,6,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Composante de soutirage Heures Pleines Eté,composante de soutirage heures pleines ete,6,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
FOIE DE VEAU CARCASSE ABATS,foie de veau carcasse abats,6,7,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_837602275
FRESSURE DE MOUTON CARCASSE ABATS,fressure de mouton carcasse abats,6,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Prestation émetteur Bimpli,prestation emetteur bimpli,6,7,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
SILIPLAST TAL 21 TC 25KG,siliplast tal 21 tc 25kg,6,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
Supreme+ 98,supreme 98,6,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_792041840 | fr_bd_828612630 | fr_bd_903252617
50 COUV BTE SALADE KRAFT GM,50 couv bte salade kraft gm,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
AMANDE POUDRE 10 KG ORIGINE CALIFORNIE,amande poudre 10 kg origine californie,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
AMANDE POUDRE BLANCHE CT 10KG,amande poudre blanche ct 10kg,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Abonnement SFR Fibre Power,abonnement sfr fibre power,6,6,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_903252617
Abonnement parking - Rue Thimonnier - Villeneuve-Saint-Georges,abonnement parking rue thimonnier villeneuve saint georges,6,6,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_888020088
Abonnement permanent résident_ouvrage_VL_sans place réservée,abonnement permanent resident ouvrage vl sans place reservee,6,6,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
AidEnergie,aidenergie,6,6,6152,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_837602275
